time_step,coal_actual,coal_pred,nat_gas_actual,nat_gas_pred,nuclear_actual,nuclear_pred,oil_actual,oil_pred,hydro_actual,hydro_pred,solar_actual,solar_pred,wind_actual,wind_pred,other_actual,other_pred,timestep_type
0,0.0,,0.0,,1.0799411535263062,,-1.454291582107544,,1.2851762771606445,,1.5231900215148926,,-0.33805644512176514,,1.2131290435791016,,context
1,0.0,,0.0,,1.0558167695999146,,-1.454291582107544,,1.2718265056610107,,1.5107617378234863,,-0.5251182317733765,,1.0173052549362183,,context
2,0.0,,0.0,,1.3790842294692993,,-1.454291582107544,,1.2469067573547363,,1.4921191930770874,,-0.8141046762466431,,0.907369077205658,,context
3,0.0,,0.0,,1.560017466545105,,-1.454291582107544,,1.2522467374801636,,1.4154778718948364,,-0.9520028233528137,,0.6806257367134094,,context
4,0.0,,0.0,,1.716826319694519,,-1.454291582107544,,1.2460168600082397,,1.3926926851272583,,-1.0619215965270996,,0.01585540361702442,,context
5,0.0,,0.0,,1.8688102960586548,,0.7279419302940369,,1.2495768070220947,,-0.3721288740634918,,-1.3373181819915771,,-0.38094550371170044,,context
6,0.0,,0.0,,1.9146467447280884,,0.7858041524887085,,1.2317770719528198,,-0.37834304571151733,,-1.5395686626434326,,-0.33971941471099854,,context
7,0.0,,0.0,,1.4731695652008057,,0.584663987159729,,1.2130873203277588,,-0.37005749344825745,,-1.6027220487594604,,-0.03224167227745056,,context
8,0.0,,0.0,,1.1474895477294922,,0.4220985770225525,,1.1988474130630493,,-0.38455721735954285,,-1.6283031702041626,,0.08800102025270462,,context
9,0.0,,0.0,,1.54554283618927,,0.5102696418762207,,1.2148672342300415,,-0.3824858069419861,,-1.6350980997085571,,-0.6111243367195129,,context
10,0.0,,0.0,,1.092003345489502,,0.3449489176273346,,1.2175371646881104,,-0.37834304571151733,,-1.6570818424224854,,-0.31910640001296997,,context
11,0.0,,0.0,,0.5347288250923157,,0.46067342162132263,,1.1988474130630493,,-0.3824858069419861,,-1.6374963521957397,,0.3851722478866577,,context
12,0.0,,0.0,,1.0534043312072754,,-1.454291582107544,,1.2095272541046143,,1.0281286239624023,,-1.5351719856262207,,0.02100866287946701,,context
13,0.0,,0.0,,1.4997063875198364,,-1.454291582107544,,1.2095272541046143,,1.0446996688842773,,-1.4568297863006592,,-0.4445023536682129,,context
14,0.0,,0.0,,1.9411836862564087,,-1.454291582107544,,1.2326669692993164,,0.9680583477020264,,-1.3820850849151611,,-0.6557859182357788,,context
15,0.0,,0.0,,1.873635172843933,,0.33392754197120667,,1.2540267705917358,,-0.37005749344825745,,-1.25417959690094,,-0.5973823666572571,,context
16,0.0,,0.0,,1.7095890045166016,,0.3477042615413666,,1.2486867904663086,,-0.37005749344825745,,-1.174638271331787,,0.7459003329277039,,context
17,0.0,,0.0,,1.6299784183502197,,0.5956853628158569,,1.2513567209243774,,-0.36177194118499756,,-1.1230764389038086,,0.8919093012809753,,context
18,0.0,,0.0,,1.5407179594039917,,0.35045960545539856,,1.2522467374801636,,-0.34727224707603455,,-1.1230764389038086,,1.0207407474517822,,context
19,0.0,,0.0,,1.2222753763198853,,0.36699169874191284,,1.2655965089797974,,-0.326558381319046,,-1.114682674407959,,0.5706895589828491,,context
20,0.0,,0.0,,0.8579963445663452,,-1.454291582107544,,1.2825063467025757,,1.032271385192871,,-1.0990941524505615,,0.5088504552841187,,context
21,0.0,,0.0,,0.713249683380127,,-1.454291582107544,,1.2798364162445068,,1.0364141464233398,,-1.0095603466033936,,0.9984099864959717,,context
22,0.0,,0.0,,0.7035999298095703,,-1.454291582107544,,1.2896262407302856,,1.3077658414840698,,-0.8760589361190796,,1.2972990274429321,,context
23,0.0,,0.0,,0.36827021837234497,,-1.454291582107544,,1.306536078453064,,1.4983333349227905,,-0.6758068799972534,,1.6580270528793335,,context
24,0.0,,0.0,,-0.21554121375083923,,-1.454291582107544,,1.3038660287857056,,1.4983333349227905,,-0.5498999357223511,,1.2698149681091309,,context
25,0.0,,0.0,,-0.5653455853462219,,-1.454291582107544,,1.3092060089111328,,1.508690357208252,,-0.637435257434845,,0.8644253015518188,,context
26,0.0,,0.0,,-0.741454005241394,,-1.454291582107544,,1.2994160652160645,,1.5169758796691895,,-0.6774057149887085,,0.5930203199386597,,context
27,0.0,,0.0,,-0.8548388481140137,,-1.454291582107544,,1.2905162572860718,,1.3512649536132812,,-0.8416843414306641,,0.7338760495185852,,context
28,0.0,,0.0,,-0.8813757300376892,,-1.454291582107544,,1.2842862606048584,,1.1751970052719116,,-1.1606487035751343,,0.6548594236373901,,context
29,0.0,,0.0,,-0.87896329164505,,-1.454291582107544,,1.2744964361190796,,1.023985743522644,,-1.364098310470581,,0.5621007680892944,,context
30,0.0,,0.0,,-0.9392743706703186,,-1.454291582107544,,1.2477967739105225,,1.0136288404464722,,-1.3740909099578857,,0.1738886535167694,,context
31,0.0,,0.0,,-1.0068228244781494,,-1.454291582107544,,1.1178585290908813,,1.0115574598312378,,-1.4052679538726807,,0.1395336091518402,,context
32,0.0,,0.0,,-1.067133903503418,,-1.454291582107544,,1.1187485456466675,,0.9639155864715576,,-1.4128623008728027,,-0.3757922351360321,,context
33,0.0,,0.0,,-1.0767836570739746,,-1.454291582107544,,1.1231985092163086,,0.9742724895477295,,-1.395275354385376,,-0.2589850425720215,,context
34,0.0,,0.0,,-1.0767836570739746,,-1.454291582107544,,1.1454482078552246,,1.0053433179855347,,-1.3093388080596924,,-0.3242596387863159,,context
35,0.0,,0.0,,-1.105733036994934,,-1.454291582107544,,1.2655965089797974,,1.1938395500183105,,-1.0403375625610352,,0.11033181101083755,,context
36,0.0,,0.0,,-1.1515694856643677,,-1.454291582107544,,1.2833963632583618,,1.3264082670211792,,-0.700588583946228,,0.90049809217453,,context
37,0.0,,0.0,,-1.1684565544128418,,-1.454291582107544,,1.3011960983276367,,1.4506914615631104,,-0.3108765184879303,,1.4226949214935303,,context
38,0.0,,0.0,,-1.192581057548523,,-1.454291582107544,,1.302976131439209,,1.4589769840240479,,-0.1178191602230072,,1.5807281732559204,,context
39,0.0,,0.0,,-1.2118805646896362,,-1.454291582107544,,1.3056460618972778,,1.4796909093856812,,-0.2221420854330063,,1.6923820972442627,,context
40,0.0,,0.0,,-1.1974059343338013,,-1.454291582107544,,1.2958561182022095,,1.4983333349227905,,-0.3540446162223816,,1.5498086214065552,,context
